Sigla,Name,Índice-__H,level
WS-REST,International Workshop on RESTful Design,6,2
ABS,Agent-based Simulation Workshop,5,2
ALTA,Australasian Language Technology Association Workshop,5,2
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,5,2
ArgMas,International Workshop on Argumentation in Multi-Agent Systems,5,2
ASIS&T,Annual Conference of the American Society for Information Science and Technology,5,2
BCB,ACM International Conference on Bioinformatics and Computational Biology,5,2
CASON,International Conference on Computational Aspects of Social Networks,5,2
CBA,Congresso Brasileiro de Automática,5,2
CCCT,"International Conference on Computer, Communication and Control Technologies",5,2
CIAED,Congresso Internacional ABED de Educação a Distância,5,2
CIMSIM,"International Conference on Computational Intel igence, Model ing and Simulation",5,2
CISTI,Iberian Conference on Information Systems and Technologies,5,2
CSC,International Conference on Scientific Computing,5,2
CSCLP,ERCIM Annual Workshop on Constraint Solving and Contraint Logic Programming,5,2
CSD,Workshop on Critical Systems Development,5,2
CSREA_EEE,"International Conference on E-Learning, E-Business, Enterprise Information Systems, & E-Government",5,2
CSSW,Conference on Social Semantic Web,5,2
DBKDA,"International Conference on Advances in Databases, Knowledge, and Data Applications",5,2
DBTA,International Workshop on Database Technology and Applications,5,2
DMO,Data Mining and Optimization,5,2
DSL,Domain-Specific Languages for Software Engineering Conference,5,2
EKNOW,"International Conference on Information, Process, and Knowledge Management",5,2
ELML,"International Conference on Mobile, Hybrid, and On-line Learning",5,2
Engopt,International Conference on Engineering Optimization,5,2
ENRI,Encontro de Robótica Inteligente,5,2
EWME,European Workshop on Microelectronics Education,5,2
FCS,International Conference on Foundations of Computer Science,5,2
FECS,International Conference on Frontiers in Education: Computer Science and Computer Engineering,5,2
FGIT,Future Generation Information Technology,5,2
FIT,Frontiers of Information Technology,5,2
FTP,International Workshops on First-Order Theorem Proving,5,2
Globe,Conference on Data Management in Grid and P2P Systems,5,2
HVC,International Haifa Verification Conference,5,2
ICBAKE,International Conference on Biometrics and Kansei Engineering,5,2
ICECE,International Conference on Engineering and Computer Education,5,2
ICETE,International Conference on E-Business and Telecommunication Networks,5,2
ICNC,International Conference on Natural Computation,5,2
ICSSEA,International Conference on Software and Systems Engineering and their Applications,5,2
ICWET,International Conference & Workshop on Emerging Trends in Technology,5,2
IE,International Conference on Intel igent Environments,5,2
IESS,International Conference on Exploring Services Science,5,2
IITSI,International Symposium on Intel igent Information Technology and Security Informatics,5,2
IJCBS,"International Joint Conference on Bioinformatics, Systems Biology and Intel igent Computing",5,2
IMF,International Conference on IT Security Incident Management and IT Forensics,5,2
ITAT,Conference on Theory and Practice of Information Technologies,5,2
ITHE,International Conference on Information Technology Based Higher,5,2
IWSCA,IEEE International Workshop on Semantic Computing and Applications,5,2
LATINCOM,IEEE Latin-american Conference on Communications,5,2
Latincrypt,International Conference on Cryptology and Information Security in Latin,5,2
LSFA,"Workshop on Logical and Semantic Frameworks, with Applications",5,2
M4M,Methods for Modalities,5,2
Matheuristics,International Workshop on Model-based metaheuristics,5,2
MESH,International Conference on Advances in Mesh Networks,5,2
MobiCASE,"Mobile Computing, Applications, and Services",5,2
MTSR,International Conference on Metadata and Semantics Research,5,2
NLP-KE,International Conference on Natural Language Processing and Knowledge Engineering,5,2
NOCARC,International Workshop on Network on Chip Architectures,5,2
ONISW,Ontologies and Information Systems for the Semantic Web,5,2
OR,International Conference on Operations Research,5,2
PACCS,"Pacific-Asia Conference on Circuits, Communications and Systems",5,2
RFID-TA,RFID-Technologies and Applications,5,2
SBCM,Simpósio Brasileiro de Computação Musical,5,2
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,5,2
SEAS,Workshop on Software Engineering for Agent-Oriented Systems,5,2
SEDE,Software Engineering and Data Engineering,5,2
SEMAPRO,International Conference on Advances in Semantic Processing,5,2
SPW,International Workshop on Security Protocols,5,2
SREIS,Symposium on Requirements Engineering for Information Security,5,2
SSC,IFAC Conference on System Structure and Control,5,2
STIL,Brazilian Symposium in Information and Human Language Technology,5,2
TEAA,International Conference on Trends in Enterprise Application Architecture,5,2
WAFR,Workshop on the Algorithmic Foundations of Robotics,5,2
WOMSDE,Workshop on Ontologies and Metamodels in Software Engineering WOMSDE),5,2
WSPI,International Workshop on Philosophy and Informatics,5,2
3PGCIC,"International Conference on P2P, Parallel, Grid, Cloud, and Internet Computing",4,2
AMTA,Conference of the Association for Machine Translation in the Americas,4,2
ANDESCON,IEEE Andean Region International Conference,4,2
ATT,Workshop on Agents in Traffic and Transportation,4,2
BAIP,International Conference on Recent Trends in Business Administration and Information Processing,4,2
BICA,Annual International Conference on Biologically Inspired Cognitive Architectures,4,2
BIR,International Conference on Perspectives in Business Informatics Research,4,2
CIAIE,Congresso Ibero-Americano de Informática Educativa,4,2
CIMSA,IEEE International Conference on Computational Intel igence for Measurement Systems and Applications,4,2
CIRAS,International Conference on Computational Intel igence Robotics and Autonomous Systems,4,2
CLAIO,Congreso Latino-Iberoamericano de Investigación Operativa,4,2
CLOSER,International Conference on Cloud Computing and Services Science,4,2
CONTECSI,International Conference on Information Systems and Technology Management,4,2
DASD,Design Analysis and Simulation of Distributed Systems Symposium,4,2
DSDE,International Conference on Data Storage and Data Engineering,4,2
DSS,IFIP International Conference on Decision Support Systems,4,2
E-ACTIVITIES,International Conference on E-Activities,4,2
EANN,International Conference on Engineering Applications of Neural Networks,4,2
EISWT,International Conference on Enterprise Information Systems and Web Technologies,4,2
EJC,European-Japanese Conference on Information Model ing and Knowledge Bases,4,2
ENLG,European Workshop on Natural Language Generation,4,2
ESAIR,Exploiting Semantic Annotations in Information Retrieval,4,2
ESELAW,Experimental Software Engineering Latin American Workshop,4,2
EURO,European Conference on Operational Research,4,2
FMN,Future Multimedia Networking,4,2
FSR,International Symposium on Field and Service Robotics,4,2
GEOPROCESSING,"International Conference on Advanced Geographic Information Systems, Applications, and Services",4,2
ICCBR,International Conference on Case-Based Reasoning,4,2
ICORE,International Conference on Reputation,4,2
IGIP,IGIP International Symposium on Engineering Education,4,2
IMS,Advanced Information Management and Service,4,2
IMS_A,IFAC Workshop on Intel igent Manufacturing Systems,4,2
INTED,"International Technology, Education and Development Conference",4,2
IS,IADIS International Conference Information Systems,4,2
ISMP,International Symposium on Mathematical Programming,4,2
ITEM,Conference on Information Technology in Educational Management,4,2
IV_A,Intel igent Vehicles Conference,4,2
JIISIC,Jornadas Iberoamericanas de Ingeniería de Software e Ingeniería del Conocimiento,4,2
LA-WASP,Latin American Workshop on Aspect-Oriented Software Development,4,2
LAGOS,Latin-American Algorithms Graphs and Optimization Symposium,4,2
MCM,International Conference on Mathematics and Computation in Music,4,2
MINES,International Conference on Multimedia Information Networking and Security,4,2
MMAR,IEEE IFAC International Conference on Methods and Models in Automation and Robotics,4,2
MMVR,Annual Medicine Meets Virtual Reality Conference,4,2
NETCOM,International Conference on Networks & Communications,4,2
NLPCS,International Workshop on Natural Language Processing and Cognitive Science,4,2
ODBIS,Ontologies-Based Databases and Information Systems,4,2
OL,Ontology Learning,4,2
RRS,"Rational, Robust and Secure Negotiation Mechanisms in Multi-Agent Systems",4,2
SAPIR,International Workshop on Service Assurance with Partial and Intermittent Resources,4,2
SOCINFO,International Workshop on Social Informatics,4,2
SOCO,International Conference on Soft Computing Models in Industrial and Environmental Applications,4,2
STFSSD,Software Technologies for Future Dependable Distributed Systems,4,2
SWEL,Workshop on Ontologies and Social Semantic Web for Intel igent Educational Systems,4,2
TaPP,USENIX Workshop on the Theory and Practice of Provenance,4,2
TAU,IEEE International Workshop on Timing Issues,4,2
TECHEDUCA,"International Conference on Technology Enhanced Learning, Quality of Teaching and Education Reform",4,2
TISE,Taller Internacional de Software Educativo,4,2
UCAS,International Workshop on Unique Chips and Systems,4,2
VECIMS,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,4,2
Vis,IEEE Visualization Conference,4,2
WAAMD,Workshop em Algoritmos e Aplicações de Mineração de Dados,4,2
WAOA,Workshop on Approximation and Online Algorithms,4,2
WCGA,Workshop de Computação em Grade e Aplicações,4,2
WCOLDE,ICDE World Conference on Open Learning and Distance Education,4,2
WebKDD,Web Mining and Web Usage Analysis,4,2
WIM,Workshop de Informática Médica,4,2
WISTDCS,WOMBAT Workshop on Information Security Threats Data Col ection and Sharing,4,2
WoSAR,International Workshop on Software Aging and Rejuvenation,4,2
WRC,Workshop on Reconfigurable Computing,4,2
WSCAD-SSC,Simpósio em Sistemas Computacionais,4,2
WTF,Workshop de Testes e Tolerância a Falhas,4,2
BC,IFIP International Conference on Broadband Communications,3,2
IAWTIC,International Conference on Intel igent Agents Web Technologies and Internet Commerce,3,2
ICIAM,International Congress on Industrial and Applied Mathematics,3,2
ISD,International Conference on Information Systems Development,3,2
ISRR,International Symposium of Robotics Research,3,2
SPICE,International Software Process Improvement and Capability Determination Conference,3,2
SSR,ACM SIGSOFT Working Conference on Software Reusability,3,2
TAG+,International Workhop on Tree Adjoining Grammar and Related Formalisms,3,2
CTAC,Computational Techniques and Applications Conference,2,2
E4MAS,International Workshop on Environments for Multiagent Systems,2,2
MFPS,Mathematical Foundations of Programming Semantics,2,2
SIGSEM,ACL Workshop on Prepositions,2,2
VLFM,Symposium on Visual Languages and Formal Methods,2,2
ICCI,International Conference on Computing and Information,1,2
AAIP,Workshop on Approaches and Applications of Inductive Programming,3,1
ACOM,International Workshop on Assessment of Contemporary Modularization Techniques,3,1
ADMI,International Workshop on Agents and Data Mining Interaction,3,1
ADS,Agent-Directed Simulation Symposium,3,1
AIED_A,Workshop on Motivation and Affect in Educational Software,3,1
ALAMAS,European Symposium on Adaptive Learning Agents and Multi-Agent Systems,3,1
ALIO/EURO,Conference on Combinatorial Optimization,3,1
APEID,UNESCO-APEID International Conference,3,1
BIOINFORMATICS,"International Conference on Bioinformatics Models, Methods and Algorithms",3,1
BIOTECHNO,"International Conference on Bioinformatics, Biocomputational Systems and Biotechnologies",3,1
BPMN,International Workshop on Business Process Modeling Notation,3,1
BWSS,Brazilian Workshop on Social Simulation,3,1
C&T,International Conference on Communities and Technologies,3,1
CLIHC,Latin American Conference on Human-Computer Interaction,3,1
CoALa,Workshop on Contract Architectures and Languages,3,1
COOLCHIPS,IEEE Cool Chips,3,1
CSO,International Joint Conference on Computational Sciences and Optimization,3,1
DICTAP,International Conference on Digital Information and Communication Technology and Its Applications,3,1
ECCO,Conference of European Chapter on Combinatorial Optimization,3,1
ENADI,Encontro de Administração da Informação,3,1
EOMAS,Enterprise and Organizational Modeling and Simulation,3,1
ETRA,Eye Tracking Research and Applications,3,1
FedCSIS,Federated Conference on Computer Science and Information Systems,3,1
HC,Humans and Computers,3,1
I,IADIS International Conference Informatics,3,1
I-KNOW,International Conference on Knowledge Management and Knowledge Technologies,3,1
IAIM,Annual Conference of the International Academy for Information Management,3,1
IAIT,International Conference on Advances in Information Technology,3,1
ICCABS,IEEE International Conference on Computational Advances in Bio and Medical Sciences,3,1
ICCIIS,International Conference on Communications and Intel igence Information Security,3,1
ICEC_A,IFIP International Conference on Entertainment Computing,3,1
ICEIT,International Conference on Educational and Information Technology,3,1
ICEMT,International Conference on Education and Management Technology,3,1
ICGEC,International Conference on Genetic and Evolutionary Computing,3,1
ICMIC,"International Conference on Model ing, Identification and Control",3,1
ICMSAO,"International Conferecen on Modeling, Simulation and Applied Optimization",3,1
ICOTA,International Conference on Optimization: Techniques And Applications,3,1
ICSOB,International Conference on Software Business,3,1
ICSSP,International Conference on on Software and Systems Process,3,1
ICTEL,International Conference on Technology-Enhanced Learning,3,1
ICTL,International Conferece on Temporal Logic,3,1
IFIPAI,IFIP Artificial Intel igence,3,1
INA-OCMC,"Interconnection Network Architectures: On-Chip, Multi-Chip",3,1
INFORMS,Joint International Meeting,3,1
ISCO,International Symposium on Combinatorial Optimization,3,1
ITBAM,International Conference on Information Technology in Bio- and Medical Informatics,3,1
KAMC,Knowledge Acquisition from Multimedia Content,3,1
LACLO,Latin American Conference on Learning Objects,3,1
LIGHTSEC,"Workshop on Lightweight Security and Privacy: Devices, Protocols, and Applications",3,1
MISTA,Multidisciplinary International Scheduling Conference: Theory and Applications,3,1
MoDISE-EUS,"Model Driven Information Systems Engineering: Enterprise, User and System Models",3,1
MPOOL,Workshop on Multiparadigm Programming with Object Oriented Languages,3,1
MSC,IEEE Multi-conference on Systems and Control,3,1
OASICS,OpenAcess Series in Informatics,3,1
ONTOSE,"Ontology, Conceptualization and Epistemology for Information Systems, Software Engineering and Service Science",3,1
PAAP,"International Symposium on Parallel Architectures, Algorithms and Programming",3,1
PhiSE,Philosophical Foundations on Information Systems Engineering,3,1
REET,Requirements Engineering Education and Training,3,1
RuleApps,East European Workshop on Rule-Based Applications,3,1
SAME,Semantic Ambient Media Experiences,3,1
SAST,Brazilian Workshop on Systematic and Automated Software Testing,3,1
SBSE,Simpósio Brasileiro de Sistemas Elétricos,3,1
SCCI,IEEE Symp. Series on Computational Intel igence,3,1
SemDial,Workshop on the Semantics and Pragmatics of Dialogue,3,1
SLE,International Conference on Software Language Engineering,3,1
SoICT,Symposium on Information and Communication Technology,3,1
SugarLoafPlop,Latin American Conference on Pattern Languages of Programming,3,1
T4E,International Workshop on Technology for Education,3,1
TEAR,Trends in Enterprise Architecture Research,3,1
WACC,WSEAS Applied Computing Conference,3,1
WEAC,Workshop sobre Educação em Arquitetura de Computadores,3,1
WGRS,Workshop de Gerência e Operação de Redes e Serviços,3,1
WMT,Workshop on Statistical Machine Translation,3,1
WP2P,Workshop de Peer-to-Peer,3,1
WPERFORMANCE,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,3,1
WTI,International Workshop on Web and Text Intel igence,3,1
WVC,Workshop de Visão computacional,3,1
ADHOCNETS,International Conference on Ad Hoc Networks,2,1
AES-Brasil,Audio Engineering Society - Brasil,2,1
AGO,International Conference on Advances In Global Optimization: Methods and Applications,2,1
AIS,SIGED International Conference on Informatics Education and Research,2,1
AISAT,International Conference on Artificial Intel igence in Science and Technology,2,1
AMCS,International Conference on Algorithmic Mathematics and Computer Science,2,1
ArtAbilitation,The ArtAbilitation Conference,2,1
BUCC,Workshop on Building and Using Comparable Corpora,2,1
CCC_A,Colombian Computing Congress,2,1
CC_A,Creativity and Cognition Conference,2,1
CETS,Conference on E-business Technology and Strategy,2,1
CITA,International Conference on IT in Asia,2,1
CMMR,International Symposium on Computer Music Modeling and Retrieval,2,1
CONQUEST,Conquest International Conference on Quality Engineering in Software Technology,2,1
CSEE,"International Conference on Computer Science, Environment, Ecoinformatics, and Education",2,1
CTC,Workshop Cybercrime and Trustworthy Computing,2,1
CyberGames,International Conference on Games Research and Development,2,1
E-SCIENCE,Brazilian e-Science Workshop,2,1
ELAVIO,Latin American Operations Research Summer School,2,1
ELC,Encontro de Linguística de Corpus,2,1
EMicro,South Microelectronics School,2,1
EUROPT,Workshop on Advances in Continuous Optimization,2,1
Evoapplications,European Conference on the Applications of Evolutionary Computation,2,1
FEF,The Finite Elements in Flow Problems Conference,2,1
FTFC,IEEE Faible Tension Faible Consommation,2,1
GOW,Global Optimization Workshop,2,1
HOPL,History of Programming Languages Conference,2,1
ICAIE,International Conference on Artificial Intel igence and Education,2,1
ICCL,IEEE International Conference on Computer Languages,2,1
ICDE_A,World Conference on Open Learning and Distance Education,2,1
ICELET,International Conference on E-Learning and E-Teaching,2,1
ICGeS,International Conference on Global E-Security,2,1
ICICA,International Conference on Information Computing and Applications,2,1
ICL,International Conference on Interactive Col aborative Learning,2,1
ICMA,International Conference on Manufacturing Automation,2,1
ICoFCS,International Conference on Forensic Computer Science,2,1
IR,Research and Development in Information Retrieval,2,1
ISC_A,International Supercomputing Conference,2,1
ISWSA,International Conference on Intel igent Semantic Web-Services and Applications,2,1
LASCAS,IEEE Latin American Symposium on Circuits and Systems - LASCAS,2,1
m-ICTE,International Conference on Multimedia and ICT in Education,2,1
MCCSIS,IADIS International Conference Web Based Communities and Social Media,2,1
META,International Conference on Metaheuristics and Nature Inspired Computing,2,1
MoodleMoot,MoodleMoot Brasil,2,1
MULTIPROG,Workshop on Programmability Issues for Multi-Core Computers,2,1
NCIS,International Conference on Network Computing and Information Security,2,1
NyirCrypt,Central European Conference on Cryptography,2,1
OKCon,Open Knowledge Conference,2,1
PCNS,SPIE Conference on Performance and Control of Network Systems,2,1
QoSA,International ACM Sigsoft Conference on the Quality of Software Architectures,2,1
RST_A,Workshop A RST e os Estudos do Texto,2,1
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,2,1
SEBIZ,Applications and Business Aspects of the Semantic Web,2,1
SECIII,"Social, Ethical and Cognitive Issues on Informatics and ICT",2,1
SQC,Software and Systems Quality Conferences,2,1
TCoB,International Workshop on Technologies for Col aborative Business Process Management,2,1
VDEA,SPIE Conference on Visual Data Exploration and Analysis,2,1
WACERTS,Workshop on Architectures for Cooperative Embedded Real-Time Systems,2,1
WAMPS,Workshop anual do MPS.BR pessoal enviou meta-dados separadamente),2,1
WDBC,Worshop Brasileiro de Desenvolvimento Baseado em Componentes,2,1
WebPRES,Web Personalization and Recommender Systems,2,1
WRVA,Workshop de Realidade Virtual e Aumentada ,2,1
AMAS-BT,Workshop on Architectural and Microarchitectural Support for Binary Translation,1,1
ANIREM,Workshop on Agents Norms and Institutions for Regulated Multiagent Systems,1,1
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,1,1
APTC,Asia-Pacific Trusted Infrastructure Technologies Conference,1,1
BIRTE,International Workshop on Business Intel igence for the Real Time Enterprise,1,1
CAIA,Conference on Artificial Intel igence for Applications,1,1
CAOS,Workshop on Computer Architecture and Operating System co-design,1,1
CBEE,Congresso Brasileiro de Educação Especial,1,1
CBIC,Congresso Brasileiro de Inteligência Computacional,1,1
CINTED,Ciclo de Palestras Novas Tecnologias na Educação,1,1
CLIP,Workshop on Cross-Language Information Processing,1,1
CONGRESS,"World Congress on Privacy, Security, Trust and the Management of e-Business",1,1
DB&IS,International Baltic Conference on Databases and Information Systems,1,1
DCCS,Dependable Computing and Communications Symposium,1,1
DENVECT,"IEEE International Workshop on Digital Entertainment, Networked Virtual Environments, and Creative Technology",1,1
EMS,EMS Network Conference,1,1
EPIO,Escuela de Perfeccionamiento en Investigación Operativa,1,1
ERAD,Escola Regional de Alto Desempenho,1,1
EUROCOMB,European Conference on Combinatorics Graph Theory and Applications,1,1
FIND,Dynamic Taxonomies and Faceted Search,1,1
FINTDI,Promotion and Innovation with New Technologies in Engineering Education,1,1
GADA,International Conference on Grid computing High-performance and Distributed Applications,1,1
IBICA,International Conference on Innovations in Bio-inspired Computing and Applications,1,1
ICCOPT,International Conference on Continuous Optimization,1,1
ICDF,IFIP WG 11.9 International Conference on Digital Forensics,1,1
ICDLE,International Conference on Distance Learning and Education,1,1
ICDVRAT,"International Conference on Disability, Virtual Reality and Associated Technologies",1,1
ICFCSE,International Conference on Future Computer Science and Education,1,1
ICISO,International Conference on Informatics and Semiotics in Organisations,1,1
ICNCC,International Conference on Network Communication and Computer,1,1
ICORD,International Conference on Operational Research for Development,1,1
ICTERI,"International Conference on ICT in Education, Research, and Industrial Applications",1,1
IESS_A,International Embedded Systems Symposium,1,1
IGIC,IEEE International Games Innovation Conference,1,1
InCoB,International Conference on Bioinformatics,1,1
IUKM,Integrated Uncertainty in Knowledge Model ing and Decision Making,1,1
JDP,Jornada de Descrição do Português,1,1
LaTeCH,"Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities",1,1
MEWS,International Workshop on Mining for Enhanced Web Search,1,1
MOPTA,Annual Conference on Modeling and Optimization: Theory and Applications,1,1
MSA,International Conference on Multimedia Systems and Applications,1,1
NIDISC,Workshop on Nature Inspired Distributed Computing,1,1
OASIS,Foundations of Intrusion Tolerant Systems,1,1
OptMAS,Workshop on Optimisation in Multi-Agent Systems,1,1
SForum,Microelectronics Students Forum,1,1
SSST,"Workshop on Syntax, Semantics and Structure in Statistical Translation",1,1
TEL,Technology for Education and Learning,1,1
TMRA,International Conference on Topic Maps Research and Applications,1,1
WAMCA,Workshop on Architecture for Multi-Core Applications,1,1
WASSA,Workshop on Computational Approaches to Subjectivity and Sentiment Analysis,1,1
WBE,International Symposium on Web-based Education,1,1
WBPM,Workshop Brasileiro de Gestão de Processos de Negócio,1,1
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,1,1
WCGE,Workshop de Computação Aplicada em Governo Eletrônico,1,1
WDL,Workshop de Bibliotecas Digitais,1,1
WEED,Workshop on Energy-Efficient Design,1,1
WESAAC,"Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações",1,1
WoSIDA,Workshop on Autonomic Distributed Systems,1,1
WRS,International Workshop on Reduction Strategies in Rewriting and Programming,1,1
WSWED,Brazilian Workshop on Semantic Web and Education,1,1
XSym,International XML Database Symposium,15,3
