Sigla,Name,Índice-__H,level
MKM,Mathematical Knowledge Management,20,4
MobiDE,Workshop on Data Engineering for Wireless and Mobile Access,20,4
NMR,International Workshop on Non-Monotonic Reasoning,20,4
RSP,International Workshop on Rapid System Prototyping,20,4
SEW,Annual Software Engineering Workshop,20,4
SOCC,IEEE International SOC Conference,20,4
TAC,Text Analysis Conference,20,4
VSSN,ACM International Workshop on Video Surveil ance and Sensor Networks,20,4
WOCC,Annual Wireless and Optical Communications Conference,20,4
WSE,IEEE International Symposium on Web Systems Evolution,20,4
XP,International Conference on Agile Processes in Software Engineering and eXtreme Programming,20,4
AIIDE,Artificial Intel igence and Interactive Digital Entertainment,19,4
AIME,Conference on Artificial Intel igence in Medicine in Europe,19,4
ALIFE_A,International Conference on the Simulation and Synthesis of Living Systems,19,4
AOM,Aspect-Oriented Modeling Workshop,19,4
APGV,Symposium on Applied Perception in Graphics and Visualization,19,4
CCCG,Canadian Conference on Computational Geometry,19,4
CLOUD,IEEE International Conference on Cloud Computing,19,4
CLOUDCOM,IEEE International Conference on Cloud Computing Technology and Science,19,4
CogSci,Annual Conference of the Cognitive Science Society,19,4
CSEE&T,Conference on Software Engineering Education and Training,19,4
DLT,International Conference on Developments in Language Theory,19,4
DOA,International Symposium on Distributed Objects and Applications,19,4
EC-TEL,European Conference on Technology Enhanced Learning,19,4
EPIA,Portuguese Conference on Artiificial Intel igence/Encontro Português de Inteligência Artificial,19,4
GIR,Workshop on Geographic Information Retrieval,19,4
ICDL-EpiRob,IEEE Conference on Development and Learning and Epigenetic Robotics,19,4
ISM,IEEE International Symposium on Multimedia,19,4
ISRE,IEEE International Symposium on Requirements Engineering,19,4
IWLS,International Workshop on Logic and Synthesis,19,4
LA-WEB,Latin American Web Congress,19,4
MICAI,Mexican International Conference on Artificial Intel igence,19,4
MLDM,IAPR International Conference on Machine Learning and Data Mining,19,4
OPODIS,International Conference on Principles of Distributed Systems,19,4
PAKM,International Conference on Practical Aspects of Knowledge Management,19,4
SBIA,Brazilian Symposium on Artificial Inteligence,19,4
SMC,IEEE International Conference on Systems Man and Cybernetics,19,4
